time,acc,atrunc
56.819,0.004593137,0.004593137
56.824,-0.015106863,-0.015106863
56.828,-0.008006863,-0.008006863
56.832,-0.010406863,-0.010406863
56.836,-0.017506863,-0.017506863
56.84,-0.003806863,-0.003806863
56.845,0.014793137,0.014793137
56.849,0.009393137,0.009393137
56.853,-0.018706863,-0.018706863
56.857,-0.001406863,-0.001406863
56.861,-0.009806863,-0.009806863
56.866,-0.000806863,-0.000806863
56.87,0.001593137,0.001593137
56.874,0.008793137,0.008793137
56.878,0.012993137,0.012993137
56.882,-0.002006863,-0.002006863
56.887,0.001593137,0.001593137
56.891,0.010593137,0.010593137
56.895,0.002793137,0.002793137
56.899,-0.011606863,-0.011606863
56.903,-0.016306863,-0.016306863
56.908,-0.018706863,-0.018706863
56.912,-0.000206863,-0.000206863
56.916,-0.013906863,-0.013906863
56.92,0.013593137,0.013593137
56.924,-0.000806863,-0.000806863
56.929,-0.004406863,-0.004406863
56.933,-0.009806863,-0.009806863
56.937,-0.021706863,-0.02
56.941,-0.007406863,-0.007406863
56.945,0.025593137,0.02
56.95,0.003393137,0.003393137
56.954,-0.027106863,-0.02
56.958,-0.020506863,-0.02
56.962,-0.011006863,-0.011006863
56.966,0.043393137,0.02
56.971,0.020793137,0.02
56.975,0.004593137,0.004593137
56.979,-0.006806863,-0.006806863
56.983,-0.009206863,-0.009206863
56.987,-0.002006863,-0.002006863
56.992,0.032693137,0.02
56.996,0.022593137,0.02
57,0.051393137,0.02
57.004,0.013593137,0.013593137
57.008,0.022593137,0.02
57.013,-0.019906863,-0.019906863
57.017,-0.011006863,-0.011006863
57.021,-0.013906863,-0.013906863
57.025,0.002793137,0.002793137
57.029,-0.010406863,-0.010406863
57.034,-0.002006863,-0.002006863
57.038,0.023193137,0.02
57.042,0.008793137,0.008793137
57.046,-0.000206863,-0.000206863
57.05,-0.030106863,-0.02
57.055,0.003993137,0.003993137
57.059,0.003393137,0.003393137
57.063,0.009993137,0.009993137
57.067,0.000993137,0.000993137
57.071,-0.030106863,-0.02
57.076,-0.016306863,-0.016306863
57.08,0.002793137,0.002793137
57.084,-0.015106863,-0.015106863
57.088,-0.011606863,-0.011606863
57.092,-0.013306863,-0.013306863
57.097,-0.018706863,-0.018706863
57.101,-0.004406863,-0.004406863
57.105,-0.000206863,-0.000206863
57.109,0.022593137,0.02
57.113,0.003393137,0.003393137
57.118,0.003393137,0.003393137
57.122,0.006993137,0.006993137
57.126,-0.005006863,-0.005006863
57.13,0.013593137,0.013593137
57.134,-0.003206863,-0.003206863
57.139,-0.015106863,-0.015106863
57.143,-0.024106863,-0.02
57.147,0.020193137,0.02
57.151,0.008793137,0.008793137
57.155,0.037393137,0.02
57.16,0.007593137,0.007593137
57.164,-0.015106863,-0.015106863
57.168,-0.056406863,-0.02
57.172,-0.009806863,-0.009806863
57.176,-0.005606863,-0.005606863
57.181,0.012393137,0.012393137
57.185,0.006393137,0.006393137
57.189,0.017193137,0.017193137
57.193,-0.008006863,-0.008006863
57.197,0.021393137,0.02
57.202,0.011193137,0.011193137
57.206,0.002793137,0.002793137
57.21,-0.002006863,-0.002006863
57.214,-0.009806863,-0.009806863
57.218,-0.007406863,-0.007406863
57.223,-0.003806863,-0.003806863
57.227,0.000393137,0.000393137
57.231,0.005793137,0.005793137
57.235,-0.015706863,-0.015706863
57.239,-0.022906863,-0.02
57.244,-0.001406863,-0.001406863
57.248,-0.000806863,-0.000806863
57.252,-0.007406863,-0.007406863
57.256,-0.021706863,-0.02
57.261,-0.008006863,-0.008006863
57.265,0.005193137,0.005193137
57.269,0.006993137,0.006993137
57.273,0.017793137,0.017793137
57.277,0.011793137,0.011793137
57.282,-0.021706863,-0.02
57.286,-0.012806863,-0.012806863
57.29,-0.004406863,-0.004406863
57.294,-0.005606863,-0.005606863
57.298,0.023793137,0.02
57.303,0.008193137,0.008193137
57.307,-0.006806863,-0.006806863
57.311,-0.019906863,-0.019906863
57.315,0.009393137,0.009393137
57.319,-0.001406863,-0.001406863
57.324,-0.017506863,-0.017506863
57.328,-0.008606863,-0.008606863
57.332,-0.015106863,-0.015106863
57.336,0.000393137,0.000393137
57.34,0.025593137,0.02
57.345,0.000993137,0.000993137
57.349,-0.011606863,-0.011606863
57.353,-0.018106863,-0.018106863
57.357,-0.005606863,-0.005606863
57.361,-0.007406863,-0.007406863
57.366,0.014193137,0.014193137
57.37,0.008793137,0.008793137
57.374,0.021393137,0.02
57.378,0.008193137,0.008193137
57.382,0.012393137,0.012393137
57.387,0.000393137,0.000393137
57.391,-0.002006863,-0.002006863
57.395,-0.000206863,-0.000206863
57.399,-0.013306863,-0.013306863
57.403,-0.000806863,-0.000806863
57.408,-0.009206863,-0.009206863
57.412,0.008793137,0.008793137
57.416,-0.000806863,-0.000806863
57.42,0.002193137,0.002193137
57.424,-0.009206863,-0.009206863
57.429,-0.012206863,-0.012206863
57.433,-0.007406863,-0.007406863
57.437,0.000393137,0.000393137
57.441,-0.003806863,-0.003806863
57.445,-0.015106863,-0.015106863
57.45,-0.004406863,-0.004406863
57.454,-0.005006863,-0.005006863
57.458,0.005793137,0.005793137
57.462,0.010593137,0.010593137
57.466,-0.016906863,-0.016906863
57.471,-0.015106863,-0.015106863
57.475,-0.016906863,-0.016906863
57.479,0.006393137,0.006393137
57.483,0.008793137,0.008793137
57.487,-0.003206863,-0.003206863
57.492,0.016593137,0.016593137
57.496,0.006393137,0.006393137
57.5,-0.008006863,-0.008006863
57.504,0.032093137,0.02
57.508,-0.023506863,-0.02
57.513,-0.024706863,-0.02
57.517,-0.026506863,-0.02
57.521,0.015393137,0.015393137
57.525,0.029093137,0.02
57.529,0.010593137,0.010593137
57.534,-0.011606863,-0.011606863
57.538,-0.036106863,-0.02
57.542,-0.007406863,-0.007406863
57.546,-0.013306863,-0.013306863
57.55,0.011193137,0.011193137
57.555,0.000393137,0.000393137
57.559,0.018993137,0.018993137
57.563,-0.024706863,-0.02
57.567,0.005793137,0.005793137
57.571,-0.009206863,-0.009206863
57.576,0.005793137,0.005793137
57.58,0.003393137,0.003393137
57.584,0.006993137,0.006993137
57.588,-0.014506863,-0.014506863
57.592,-0.013306863,-0.013306863
57.597,-0.014506863,-0.014506863
57.601,0.028493137,0.02
57.605,0.003393137,0.003393137
57.609,-0.015706863,-0.015706863
57.613,-0.011606863,-0.011606863
57.618,-0.011006863,-0.011006863
57.622,0.006993137,0.006993137
57.626,0.015393137,0.015393137
57.63,0.003993137,0.003993137
57.634,-0.011606863,-0.011606863
57.639,0.015993137,0.015993137
57.643,0.005793137,0.005793137
57.647,-0.019306863,-0.019306863
57.651,-0.012206863,-0.012206863
57.655,-0.040306863,-0.02
