Frame,W_kip_,Height_in_,L_ft_,alpha,Cladding,Structure,Roof,Snow_psf,Seismic,Wind,Weights,k_lat_kip_ft_,MassParticipation,T_model_s_,T_r1_s_,T_r2_s_,T_S_U_s_
155,117.56,600,240,0.873,Metal Panels,Modular,Monoslope,42,Low,High,1.50E-05,4.414,0.976,1.647,1.645,1.65,2.078959881
156,145.02,577.5,300,1.297,Metal Panels,Modular,Gabled,42,Low,Low,0.000423,1.133,0.983,3.609,3.608,3.617,2.188854164
157,46.08,190,80,2.526,Concrete,Modular,Gabled,0,Low,Low,0.020675,3.995,0.962,1.108,1.107,1.086,1.111738592
158,61.13,210,120,3.692,Concrete,Modular,Monoslope,0,Low,High,0.000209,5.412,0.866,1.147,1.141,1.075,1.046089894
159,82.34,210,240,2.526,Concrete,Modular,Gabled,0,Low,Low,0.001455,6.926,0.983,1.108,1.106,1.103,1.363552636
160,99.53,217.5,300,3.692,Concrete,Modular,Gabled,0,High,High,0.000292,25.775,0.786,0.711,0.7,0.628,1.130943591
161,79.6,380,80,1.297,Concrete,Modular,Monoslope,0,Low,High,0.000133,3.069,0.986,1.63,1.63,1.628,1.612619323
162,113.45,375,120,1.92,Concrete,Modular,Gabled,42,High,Low,0.000215,14.81,0.927,0.915,0.912,0.885,1.786378942
163,112.17,390,240,1.297,Concrete,Modular,Gabled,0,Low,Low,0.000265,2.383,0.993,2.192,2.191,2.194,1.801379675
164,209.29,435,300,1.92,Concrete,Modular,Monoslope,42,High,Low,9.36E-06,25.005,0.952,0.941,0.936,0.925,2.244368582
165,118.69,560,80,0.873,Concrete,Modular,Monoslope,0,High,High,6.65E-05,11.191,0.96,1.033,1.033,1.041,2.042224618
166,150.32,570,120,1.297,Concrete,Modular,Monoslope,42,Low,Low,1.90E-05,1.611,0.973,3.104,3.104,3.088,2.203892195
167,208.76,600,240,0.873,Concrete,Modular,Monoslope,42,Low,High,9.38E-07,4.211,0.987,2.246,2.245,2.251,2.469803613
168,160.69,577.5,300,1.297,Concrete,Modular,Gabled,0,High,High,2.65E-05,14.055,0.953,1.078,1.076,1.081,2.257278328
169,19.1,190,80,2.526,Metal Panels,Modular,Gabled,0,High,High,0.066108,2.578,0.916,0.895,0.893,0.87,0.853608932
170,56.82,195,120,3.692,Metal Panels,Modular,Gabled,42,Low,High,0.003787,11.583,0.863,0.752,0.745,0.708,1.033923723
171,60.25,420,240,1.846,Metal Panels,Modular,Gabled,0,High,High,0.000842,5.966,0.972,0.999,0.995,1.016,1.528567997
172,70.8,217.5,300,3.692,Metal Panels,Modular,Gabled,0,Low,Low,0.023212,4.686,0.915,1.297,1.289,1.243,1.070960923
173,22.36,380,80,1.297,Metal Panels,Modular,Monoslope,0,High,High,0.002121,3.646,0.931,0.789,0.789,0.792,1.101791655
