Frame,W_kip_,Height_in_,L_ft_,alpha,Cladding,Structure,Roof,Seismic,Wind,Weights,k_lat_kip_ft_,MassParticipation,T_model_s_,T_r1_s_,T_r2_s_,T_S_U_s_
103,58.08,390,240,1.297,Metal Panels,Modular,Gabled,Low,Low,0.00422,1.48,0.983,1.994,1.993,2.003,1.47859837489745
104,74.35,397.5,300,1.92,Metal Panels,Modular,Gabled,High,Low,0.00422,1.47,0.977,2.271,2.269,2.274,1.60143122377708
105,26.55,560,80,0.873,Metal Panels,Modular,Monoslope,High,High,0.001061,3.57,0.924,0.861,0.86,0.872,1.30316265510502
106,62.12,570,120,1.297,Metal Panels,Modular,Monoslope,High,Low,0.000303,1.847,0.962,1.856,1.856,1.855,1.69065405676167
107,117.82,660,240,0.857,Metal Panels,Modular,Monoslope,High,Low,0.000177,2.758,0.98,2.083,2.081,2.09,2.14067997416503
108,150.21,690,300,1.263,Metal Panels,Modular,Monoslope,Low,Low,0.000177,2.926,0.972,2.283,2.28,2.291,2.33338951031492
109,67.1,200,80,2.526,Concrete,Modular,Monoslope,Low,High,0.000147,6.18,0.957,1.076,1.074,1.054,1.26371347053433
110,55.71,195,120,3.692,Concrete,Modular,Gabled,Low,High,0.001184,4.392,0.851,1.235,1.226,1.139,1.03066519086386
111,146.87,240,240,2.526,Concrete,Modular,Monoslope,High,Low,5.15e-05,40.308,0.954,0.627,0.622,0.61,1.68836430215186
112,103.75,480,300,2.4,Concrete,Modular,Gabled,Low,High,5.28e-05,9.163,0.919,1.098,1.09,1.076,1.8728011309384
113,96.98,380,80,1.297,Concrete,Modular,Monoslope,High,Low,0.000133,12.737,0.973,0.887,0.887,0.882,1.71104957621688
114,85.39,375,120,1.92,Concrete,Modular,Gabled,Low,High,0.000215,1.806,0.959,2.24,2.239,2.199,1.64041731418113
115,166.28,390,240,1.297,Concrete,Modular,Gabled,Low,High,1.06e-05,3.429,0.992,2.225,2.224,2.227,2.02718902808125
116,133.39,397.5,300,1.92,Concrete,Modular,Gabled,High,High,5.3e-05,18.787,0.946,0.868,0.866,0.852,1.90836297392712
117,110.27,560,80,0.873,Concrete,Modular,Monoslope,High,Low,0.000332,9.916,0.969,1.06,1.06,1.066,1.99763657326008
118,145.58,555,120,1.297,Concrete,Modular,Gabled,High,Low,0.000108,13.281,0.94,1.073,1.072,1.059,2.16541564182893
119,221.78,660,240,0.857,Concrete,Modular,Monoslope,High,Low,1.11e-05,16.17,0.954,1.173,1.171,1.184,2.58799095726238
120,189.17,690,300,1.263,Concrete,Modular,Monoslope,High,Low,5.52e-05,13.413,0.948,1.205,1.203,1.201,2.50053689282443
121,36.97,200,80,2.526,Metal Panels,Modular,Monoslope,High,Low,0.011666,3.116,0.941,1.125,1.124,1.101,1.05678513070589
122,29.31,210,120,3.692,Metal Panels,Modular,Monoslope,Low,Low,0.016626,2.076,0.88,1.255,1.248,1.201,0.930016886637445
123,56.94,300,240,2.4,Metal Panels,Modular,Monoslope,Low,High,0.001942,9.619,0.957,0.783,0.778,0.778,1.35857768020997
124,71.33,255,300,3.692,Metal Panels,Modular,Monoslope,Low,Low,0.004096,3.411,0.957,1.479,1.475,1.462,1.07223964094723
125,23.25,440,80,1.091,Metal Panels,Modular,Gabled,High,High,0.002174,2.618,0.924,0.964,0.962,0.953,1.16489169828395
126,31.98,390,120,1.92,Metal Panels,Modular,Monoslope,High,Low,0.003023,1.717,0.931,1.391,1.39,1.38,1.23624850682146
127,112.7,420,240,1.297,Metal Panels,Modular,Monoslope,Low,High,2.99e-05,4.802,0.982,1.553,1.551,1.549,1.84448370171698
128,141.19,397.5,300,1.92,Metal Panels,Modular,Gabled,Low,Low,0.000846,1.086,0.988,3.639,3.638,3.646,1.94117719909392
129,24.17,550,80,0.873,Metal Panels,Modular,Gabled,Low,Low,0.029977,1.365,0.926,1.329,1.328,1.345,1.26012800118892
130,62.94,600,120,1.263,Metal Panels,Modular,Monoslope,Low,Low,0.000717,2.133,0.951,1.739,1.738,1.737,1.72363878050971
131,64.45,600,240,0.873,Metal Panels,Modular,Monoslope,High,High,7.47e-05,4.385,0.962,1.213,1.211,1.226,1.73594160421374
132,149.22,615,300,1.297,Metal Panels,Modular,Monoslope,Low,High,1.5e-05,4.804,0.974,1.782,1.78,1.782,2.2497460892389
133,49.48,200,80,2.526,Concrete,Modular,Monoslope,Low,Low,0.003649,4.404,0.97,1.086,1.086,1.072,1.15334906027824
134,88.01,210,120,3.692,Concrete,Modular,Monoslope,Low,High,4.19e-05,7.87,0.907,1.113,1.109,1.069,1.10890266362981
135,83.68,210,240,2.526,Concrete,Modular,Gabled,High,Low,0.001455,25.336,0.948,0.596,0.593,0.581,1.37017219466256
136,110.49,255,300,3.692,Concrete,Modular,Monoslope,Low,High,5.15e-05,8.929,0.95,1.15,1.147,1.125,1.15000566330877
137,96.64,380,80,1.297,Concrete,Modular,Monoslope,Low,Low,0.000133,2.006,0.988,2.226,2.225,2.22,1.7092477445206
138,85.72,375,120,1.92,Concrete,Modular,Gabled,High,Low,0.001074,10.844,0.929,0.924,0.921,0.899,1.64231662472182
139,179.73,600,240,1.091,Concrete,Modular,Gabled,High,Low,9.59e-06,22.874,0.974,0.889,0.886,0.896,2.36131761849458
140,141.8,435,300,1.92,Concrete,Modular,Monoslope,Low,High,9.36e-06,4.828,0.974,1.75,1.749,1.733,1.99697444113687
141,105.6,550,80,0.873,Concrete,Modular,Gabled,Low,Low,0.00188,1.148,0.988,3.066,3.066,3.067,1.96124045256165
142,143.49,555,120,1.297,Concrete,Modular,Gabled,Low,Low,0.000108,1.31,0.986,3.351,3.351,3.347,2.15604214407059
143,145.52,570,240,0.873,Concrete,Modular,Gabled,High,Low,0.000132,14.472,0.966,1.007,1.006,1.014,2.1825395515059
144,240.85,577.5,300,1.297,Concrete,Modular,Gabled,High,Low,2.65e-05,20.546,0.972,1.093,1.092,1.095,2.54866322138597
145,37.11,190,80,2.526,Metal Panels,Modular,Gabled,Low,Low,0.066108,4.195,0.97,0.955,0.954,0.951,1.04182848320886
